code	transfer_final	vital_final	review_note
AL	COND	yes	adequacy or specific safeguards
DZ	AUTH	yes	national authority's authorisation plus adequacy; Art 45 derogation to preserve the data subject's life
AO	AUTH	no	prior notification to APD even for adequate countries; prior authorisation for others
AR	COND	yes	generally prior consent; exception for health-related data where transfer is necessary for public health or emergency reasons
AM	COND	yes	adequate protection or consent; special-category rules
AW	COND	no	territory; ordinance plus GDPR
AU	COND	no	reasonable steps (APP 8) or listed exceptions
AT	COND	yes	GDPR Ch V; first pass wrongly said AUTH
AZ	COND	no	prior written consent of the data subject
BS	COND	no	commissioner may prohibit transfers lacking equivalent protection; first pass wrongly said LOCAL
BH	AUTH	yes	prohibited unless to 83 listed countries; otherwise Authority's prior authorisation
BD	FREE	no	no general transfer regulation, sector rules only (banks, telcos); first pass wrongly said AUTH
BB	COND	no	adequacy, consent or listed exemptions
BY	COND	no	prohibited unless listed adequate country; exceptions exist
BE	COND	yes	GDPR Ch V; first pass wrongly said AUTH
BJ	COND	no	adequacy or contractual safeguards
BM	COND	no	designated jurisdictions or contractual means
BO	FREE	no	no specific requirements for transfers
BQ	COND	no	territory; adequacy plus GDPR
BA	COND	no	adequacy confirmed by Council of Ministers, or safeguards
BW	AUTH	yes	prohibited save to Minister-designated countries; Commissioner's prior authorisation
BR	COND	yes	consent unless adequacy, SCCs or listed cases incl. protecting life or physical safety
VG	COND	yes	territory; adequacy or listed exceptions
BN	FREE	no	not currently regulated; PDPO expected
BG	COND	yes	GDPR Ch V; first pass wrongly said AUTH
BF	AUTH	no	CNIL authorisation required, plus contract clauses
BI	FREE	no	no geographic restrictions; health code Art 16: patient decides whether medical information goes to third parties
KH	FREE	no	no restrictions except banks
CM	AUTH	no	prior authorisation of the Personal Data Protection Authority
CA	COND	no	accountability plus notice; Quebec requires a privacy assessment before transfer
CV	COND	yes	adequacy, or consent or listed situations
KY	COND	yes	territory; adequacy or exceptions
TD	COND	yes	sufficient protection outside CEMAC/CEEAC; prior notice to ANSICE
CL	COND	no	consent or other legal basis; Law 21,719 regulates international transfers
CN	AUTH	yes	CAC security assessment, certification or filed SCCs, plus separate consent; exemption for protecting life, health or property in emergencies
CO	COND	no	prohibited unless equivalent protection; express consent and other exceptions
CI	AUTH	no	ARTCI prior authorisation even for adequate countries
CR	COND	no	prior written consent
HR	COND	yes	GDPR Ch V; first pass wrongly said AUTH
CU	FREE	no	nothing established on transfer
CW	COND	no	territory; GDPR referenced
CY	COND	yes	GDPR Ch V; first pass wrongly said AUTH
CZ	COND	yes	GDPR Ch V; first pass wrongly said AUTH
CD	COND	no	cross-border allowed if destination offers equal or better protection; transmission needs explicit prior consent
DK	COND	yes	GDPR Ch V; first pass wrongly said AUTH
DO	COND	no	data owner's express authorisation or contract necessity
EC	COND	yes	adequacy or safeguards
EG	AUTH	no	adequacy plus a licence or permit from the Personal Data Protection Centre; consent exception
SV	COND	no	not specifically regulated; written authorisation of the data owner generally required
GQ	AUTH	no	private holders may disclose personal data only by court order; not cross-border specific
EE	COND	yes	GDPR Ch V; first pass wrongly said AUTH
ET	AUTH	no	adequate jurisdictions allowed; otherwise ECA authorisation plus consent
FM	FREE	no	none
FJ	FREE	no	no applicable laws
FI	COND	yes	GDPR Ch V; first pass wrongly said AUTH
FR	COND	yes	GDPR Ch V; first pass wrongly said AUTH; French health-data hosting certification not examined
GA	COND	no	prohibited unless adequate; adequacy list not yet published
GE	COND	yes	adequate safeguards or listed grounds
DE	COND	yes	GDPR Ch V; first pass wrongly said AUTH
GH	FREE	no	no transfer provisions in the Act; sale of personal data prohibited
GI	COND	yes	territory; Gibraltar GDPR
GR	COND	yes	GDPR Ch V; first pass wrongly said AUTH
GT	COND	no	not regulated; written consent required for information transfer
GG	COND	yes	territory; authorised jurisdictions
GN	AUTH	no	prior authorisation from the data protection authority
