code	name	last_modified	transfer_auto	transfer_evidence	vital_auto	vital_evidence	health_sensitive_auto	health_evidence	medical_basis_auto	medical_evidence	law_first_line
AL	Albania	28 January 2025	COND	General principles (Article 39) Personal data that is being processed or will be processed after transfer may only be transferred to a foreign country or international organization or further transferred from one foreign country or international organization to another, if adequate protection for th	yes	If appropriate safeguards are not in place, the transfer may only occur if one of the following conditions is met: the data subject has explicitly consented to the proposed international transfer, after having been clearly informed of the possible risks of such transfer; the transfer is necessary fo	yes	Definition of Sensitive Personal Data Data Protection Law defines sensitive data as special categories of personal data that reveal racial or ethnic origin, political opinions, religious beliefs or philosophical views, trade union membership, genetic data, biometric data, data concerning a person’s 	no		On 19 December 2024, the Parliament of the Republic of Albania passed Law No. 124/2024, titled“ On Personal Data Protection” (the“ Data Protection Law” ) (Official Gazette of the Republic of Albania No. 9, dated 17 January 2025).
DZ	Algeria	20 March 2026	AUTH	According to the provisions of the law No. 18-07, the data controller may only transfer personal data to a foreign State with the authorisation of the national authority in accordance with Law No. 18-07 and if that State ensures an adequate level of protection of the privacy and fundamental rights a	yes	However, Article 45 of the law No 18-07 provides derogations from the general provisions for transferring personal data (free translation):“ Article 45: In derogation from the provisions of Article 44 of this law [general provisions explained above], the data controller may transfer personal data to	yes	Definition of sensitive personal data Personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs or trade union membership of the data subject or relating to health, including genetic data.	no		Law No. 18-07 of 10 June 2018 on protection of natural persons in personal data processing, as amended and supplemented notably by law No. 25-11 of 24 July 2025 (“Law No. 18-07”).
AO	Angola	30 December 2021	AUTH	International transfers of personal data to countries that do not ensure an adequate level of protection are subject to prior authorization from the APD, which will only be granted if specific requirements are met.	no		yes	Definition of sensitive personal data The Data Protection Law defines sensitive personal data as personal data related to: Philosophical or political beliefs Political affiliations or trade union membership Religion Private life Racial or ethnic origin Health or sex life (including genetic data) Rel	no		This content was last reviewed in 2021 and may not reflect recent legislative updates.
AR	Argentina	28 January 2025	COND	Transfers and disclosures to third parties Personal data may only be transferred for legitimate purposes of the transferor and the transferee, and generally with the prior consent of the data subject who must be informed of the transfer’s purpose and of the transferee’s identity.	no		yes	Definition of sensitive personal data Sensitive data includes personal data which reveal racial or ethnic origin, political opinions, religious, philosophical or moral convictions, trade union affiliation and information related to health and sexual activities.	no		Article 43 of the Federal Constitution, third paragraph, provides, in relevant part that any person may file an action to have access to personal data about such person and to information about the purpose with which they are kept, included in public data registries or banks, or in private data regi
AM	Armenia	20 January 2025	COND	Transfer to third parties shall mean an operation aimed at transferring personal data to a certain scope of persons or the public at large or at familiarizing with them, including disclosure of personal data through the mass media, posting in information communication networks or otherwise making pe	yes	The processor may transfer special category personal data to third parties or grant access to data without the personal data subject’s consent, where: the data processor is considered as a processor of special category personal data prescribed by law or an interstate agreement, the transfer of such 	yes	Definition of sensitive personal data Special Category is defined as any information related to a person's։ race; nationality or ethnicity; political views; religious or philosophical beliefs; membership in a professional union; health status; and sexual life.	no		Personal Data Protection Law as of 18.05.2015, number ՀՕ-49-Ն.
AW	Aruba	10 February 2025	COND	National Ordinance Person Registration By means of article 9 of the National Ordinance Person Registration, recorded data will only be made available to third parties in accordance with the purpose of the register and if obligated by law or done with the consent of the registered persons.	no		no		no		National Ordinance Person Registration ( Landsverordening persoonsregistratie, National Gazette 2011, Consolidated text no. 37) (“National Ordinance Person Registration”); General Data Protection Regulation (the“ GDPR”) – a regulation of the European Union which became effective on May 25, 2018 – ma
AU	Australia	11 March 2026	COND	Unless certain limited exemptions under the Privacy Act apply, personal information may only be disclosed to an organisation outside of Australia where the entity has taken reasonable steps to ensure that the overseas recipient does not breach the APPs (other than APP 1) in relation to the personal 	no		yes	"Definition of sensitive personal data Sensitive personal data (referred to as"" sensitive information"" in Australia) means information or an opinion about: Racial or ethnic origin; Political opinions; Membership of a political association; Religious beliefs or affiliations; Philosophical beliefs; Mem"	no		Australia regulates data privacy and protection through a mix of Federal, State and Territory laws.
AT	Austria	20 January 2025	AUTH	The GDPR has removed the need which existed in some Member States under the previous law to notify and in some cases seek prior approval of standard contractual clauses from supervisory authorities.	yes	The GDPR also includes a list of context specific derogations, permitting transfers to third countries where: explicit informed consent has been obtained; the transfer is necessary for the performance of a contract or the implementation of pre-contractual measures; the transfer is necessary for the 	yes	"The GDPR creates more restrictive rules for the processing of"" special categories"" (Article 9) of personal data (including data relating to race, religion, sexual life, data pertaining to health, genetics and biometrics) and personal data relating to criminal convictions and offences (Article 10)."	yes	Special Category Data Processing of special category data is prohibited (Article 9), except where one of the following exemptions applies (which, in effect, operate as secondary bases which must be established for the lawful processing of special category data, in addition to an Article 6 basis): wi	EU regulation The General Data Protection Regulation (Regulation (EU) 2016/679) ( GDPR ) is a European Union law which entered into force in 2016 and, following a two-year transition period, became directly applicable law in all Member States of the European Union on May 25, 2018, without requiring 
AZ	Azerbaijan	15 February 2022	COND	Transfer of personal data can be performed with a prior written consent of a data subject, unless the data is of open category.	no		yes	Definition of Sensitive Personal Data Personal data of special category includes information relating to race or nationality of an individual, his/her family life, religion and belief, health or conviction.	no		This content was last reviewed in 2022 and may not reflect recent legislative updates.
BS	Bahamas	28 January 2025	LOCAL	Under Section 17(1) the DPC may prohibit the transfer of personal data from The Bahamas to a place outside The Bahamas in cases where there is a failure to provide protection either by contract or otherwise equivalent to that provided under DPA, subject to certain exceptions.	no		yes	Definition of Sensitive Personal Data ‘Sensitive personal data’ is further defined in Section 2 DPA as personal data relating to: racial origin; political opinions or religious or other beliefs; physical or mental health (other than any such data reasonably kept by them in relation to the physical o	no		Data Protection (Privacy of Personal Information) Act (“DPA”).
